Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,84.980003,87.099998,84.279999,86.519997,86.519997,7837100
2009-01-02,85.930000,86.610001,85.839996,86.230003,86.230003,6411600
2009-01-05,83.620003,84.680000,83.239998,84.480003,84.480003,9534700
2009-01-06,83.370003,85.699997,83.000000,85.129997,85.129997,12864600
2009-01-07,84.559998,84.580002,82.209999,82.750000,82.750000,13360000
2009-01-08,84.400002,84.889999,83.750000,84.459999,84.459999,10715700
2009-01-09,83.339996,85.500000,83.089996,83.919998,83.919998,8861900
2009-01-12,81.720001,82.040001,80.260002,80.760002,80.760002,14755500
2009-01-13,80.940002,81.820000,80.620003,80.879997,80.879997,10019100
2009-01-14,80.570000,81.089996,79.360001,79.790001,79.790001,15600000
2009-01-15,79.970001,80.699997,78.870003,80.389999,80.389999,16714700
2009-01-16,82.199997,83.000000,81.739998,82.709999,82.709999,16470300
2009-01-20,84.169998,85.290001,83.570000,84.519997,84.519997,16743000
2009-01-21,84.050003,84.389999,82.980003,84.150002,84.150002,12272100
2009-01-22,84.029999,84.970001,83.830002,84.580002,84.580002,18569600
2009-01-23,86.570000,88.940002,86.070000,88.529999,88.529999,34010700
2009-01-26,89.220001,90.190002,88.680000,88.949997,88.949997,19129500
2009-01-27,88.400002,88.839996,88.010002,88.379997,88.379997,11787400
2009-01-28,88.269997,88.379997,86.839996,87.419998,87.419998,18449600
2009-01-29,86.680000,89.550003,86.279999,89.500000,89.500000,21175600
2009-01-30,90.699997,91.489998,89.650002,91.309998,91.309998,21279300
2009-02-02,89.879997,92.580002,88.620003,88.839996,88.839996,16983300
2009-02-03,89.339996,89.730003,86.000000,88.470001,88.470001,17521400
2009-02-04,88.889999,89.500000,88.519997,89.180000,89.180000,14271100
2009-02-05,90.750000,90.820000,89.300003,90.120003,90.120003,17196300
2009-02-06,89.150002,90.139999,89.150002,89.589996,89.589996,12554300
2009-02-09,88.349998,88.650002,87.599998,88.320000,88.320000,21263800
2009-02-10,89.660004,90.370003,89.180000,90.209999,90.209999,25445100
