Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,151.532028,154.919327,150.739990,153.250580,153.250580,5795100
2009-01-02,153.723801,160.309128,152.179596,160.060059,160.060059,7248000
2009-01-05,159.900650,165.001541,156.911850,163.412491,163.412491,9814500
2009-01-06,165.868286,169.763687,162.585587,166.406265,166.406265,12898500
2009-01-07,163.546982,164.837143,158.779861,160.403763,160.403763,9022600
2009-01-08,158.545731,161.987823,158.077484,161.987823,161.987823,7228300
2009-01-09,163.138519,163.138519,156.114838,156.946732,156.946732,8713400
2009-01-12,157.564407,158.879486,154.535767,155.761169,155.761169,6633300
2009-01-13,155.302887,159.701401,154.615463,156.573120,156.573120,8898100
2009-01-14,154.421188,156.314102,148.319061,149.923050,149.923050,10976700
2009-01-15,148.229401,151.223175,142.859528,148.936752,148.936752,11913400
2009-01-16,151.940491,153.549454,147.297897,149.275482,149.275482,10487900
2009-01-20,149.011475,149.190796,140.847076,140.847076,140.847076,10134100
2009-01-21,143.636612,151.183334,143.636612,150.974106,150.974106,9885800
2009-01-22,148.463516,154.097412,147.023926,152.677719,152.677719,16595900
2009-01-23,154.057556,165.360184,151.541977,161.743744,161.743744,21545900
2009-01-26,161.818466,163.387589,159.681473,161.330292,161.330292,9255900
2009-01-27,162.615479,166.311630,161.529541,165.121078,165.121078,9891400
2009-01-28,168.358948,175.507156,167.527069,173.683990,173.683990,15440300
2009-01-29,171.626694,171.880753,169.419968,171.018982,171.018982,14622100
2009-01-30,171.701416,173.748749,167.372650,168.632919,168.632919,9378900
2009-02-02,166.520844,171.855835,165.380112,169.649109,169.649109,10452800
2009-02-03,170.645386,170.859573,166.291702,169.589340,169.589340,13162100
2009-02-04,169.400040,176.558212,168.951721,170.859573,170.859573,13685800
2009-02-05,169.818481,177.026459,167.870773,176.199554,176.199554,14583200
2009-02-06,177.564438,186.207047,177.056351,184.946777,184.946777,14128800
2009-02-09,184.946777,189.788620,182.964203,188.677795,188.677795,9991800
2009-02-10,187.287994,188.045166,178.276779,178.585617,178.585617,14260600
2009-02-11,178.804794,181.818497,175.840912,178.351501,178.351501,10502300
2009-02-12,175.920609,181.131073,175.083740,180.847137,180.847137,11142200
2009-02-13,180.418747,180.817245,176.951736,178.172165,178.172165,8324300
2009-02-17,172.608017,172.896942,169.210754,170.690216,170.690216,11403300
2009-02-18,172.971664,176.030197,169.624207,175.895706,175.895706,12094100
2009-02-19,178.067566,179.228210,170.067551,170.680252,170.680252,10014700
2009-02-20,168.393814,173.808517,166.874512,172.578140,172.578140,12480700
2009-02-23,172.852112,174.246887,164.159683,164.413742,164.413742,10481200
2009-02-24,164.891937,174.157211,164.827194,172.080002,172.080002,12237400
2009-02-25,170.436157,175.492218,168.827194,170.182114,170.182114,12926300
2009-02-26,172.334045,175.586853,167.950485,167.960449,167.960449,11253200
2009-02-27,165.853348,171.268051,164.936783,168.363937,168.363937,10880500
2009-03-02,166.042633,169.713867,162.391312,162.969147,162.969147,11620300
2009-03-03,164.418716,166.221954,160.573135,162.132294,162.132294,13098400
2009-03-04,160.976624,163.885712,157.101151,158.864532,158.864532,15695300
2009-03-05,157.649094,158.944244,150.754929,152.249329,152.249329,13108600
2009-03-06,153.036377,154.515839,146.575592,153.708862,153.708862,14522500
2009-03-09,149.429901,152.712601,144.184555,144.901871,144.901871,12991000
2009-03-10,148.568130,154.670258,146.575592,153.509613,153.509613,13510700
2009-03-11,154.471008,159.402527,152.284195,158.361420,158.361420,11891500
2009-03-12,158.177109,161.893188,156.239380,161.160934,161.160934,10085800
2009-03-13,162.441132,163.118591,158.919327,161.604263,161.604263,7842000
2009-03-16,162.386337,164.249359,158.700150,159.248093,159.248093,9930500
2009-03-17,159.492188,167.043884,158.949219,167.043884,167.043884,9460300
2009-03-18,166.779861,169.365173,163.412491,165.928055,165.928055,10061900
2009-03-19,165.220718,167.372650,163.078735,164.353958,164.353958,8253100
2009-03-20,164.533295,165.873260,162.560684,164.463547,164.463547,9511200
2009-03-23,166.157196,174.072540,165.893188,173.649124,173.649124,8574900
2009-03-24,172.603043,176.259338,171.357712,172.936783,172.936783,7668500
2009-03-25,174.545761,175.014008,167.497177,171.392578,171.392578,8705000
2009-03-26,175.905655,178.909409,173.599304,175.985367,175.985367,12051500
2009-03-27,174.346512,175.342773,172.089966,173.200806,173.200806,6670400
2009-03-30,170.635422,171.263062,167.397552,170.705154,170.705154,6211300
2009-03-31,173.813507,176.094955,172.443634,173.380127,173.380127,7337900
2009-04-01,171.248123,176.956726,169.669037,176.383865,176.383865,6627100
2009-04-02,180.976654,184.189606,179.487244,180.573166,180.573166,9009500
2009-04-03,181.569427,185.165955,178.331573,184.199570,184.199570,7607900
2009-04-06,182.814758,184.219498,180.025223,183.432449,183.432449,6585100
2009-04-07,180.622986,181.195831,176.991592,178.655350,178.655350,7387700
2009-04-08,181.071304,181.818497,177.439911,180.324097,180.324097,5551000
2009-04-09,184.060104,186.476044,182.441162,185.554489,185.554489,6790400
2009-04-13,184.971680,188.842178,184.458603,188.349014,188.349014,6123000
2009-04-14,187.766205,187.791107,182.117386,183.766205,183.766205,6882800
2009-04-15,182.864578,189.818512,181.400070,189.041428,189.041428,9898300
2009-04-16,190.037689,195.716400,189.798584,193.644180,193.644180,20446400
2009-04-17,192.289246,199.163483,191.686508,195.387634,195.387634,21541900
2009-04-20,192.354004,194.595612,187.243164,188.941803,188.941803,8890900
2009-04-21,187.382645,191.432465,187.347778,190.022751,190.022751,7418400
2009-04-22,190.162231,194.271820,188.797348,191.213287,191.213287,7029800
2009-04-23,193.031464,194.147293,189.843414,191.626740,191.626740,5237500
2009-04-24,192.304199,195.855881,189.539566,194.017776,194.017776,6796100
2009-04-27,191.452393,194.017776,190.660355,192.254379,192.254379,4598200
2009-04-28,191.158493,193.798599,190.057617,191.138565,191.138565,5909100
2009-04-29,192.264343,196.747543,192.194611,195.004074,195.004074,7247000
2009-04-30,197.141068,201.121155,196.662857,197.245682,197.245682,8744000
2009-05-01,196.777435,198.052643,195.043930,196.109924,196.109924,4873500
2009-05-04,198.341568,200.448669,196.657883,200.239456,200.239456,6430000
